care.virtue,care.vice,authority.virtue,fairness.vice,fairness.virtue,loyalty.vice,loyalty.virtue,sanctity.virtue,authority.vice,sanctity.vice,moral_nonmoral_ratio,f_var
0.0,0.13333333333333333,0.3333333333333333,0.0,0.26666666666666666,0.0,0.2,0.0,0.06666666666666667,0.0,0.044642857142857144,0.016049382716049384
0.02702702702702703,0.13513513513513514,0.13513513513513514,0.0,0.4864864864864865,0.0,0.16216216216216217,0.05405405405405406,0.0,0.0,0.08333333333333333,0.022571219868517168
0.14285714285714285,0.11428571428571428,0.22857142857142856,0.05714285714285714,0.14285714285714285,0.0,0.22857142857142856,0.02857142857142857,0.05714285714285714,0.0,0.0641025641025641,0.007301587301587301
0.10344827586206896,0.20689655172413793,0.3448275862068966,0.0,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.0,0.06896551724137931,0.10175438596491228,0.010952569692165412
0.08333333333333333,0.0,0.6666666666666666,0.0,0.027777777777777776,0.0,0.08333333333333333,0.1111111111111111,0.027777777777777776,0.0,0.05872756933115824,0.04135802469135802
0.0,0.21052631578947367,0.39473684210526316,0.02631578947368421,0.10526315789473684,0.0,0.18421052631578946,0.0,0.05263157894736842,0.02631578947368421,0.09768637532133675,0.016589719913819637
0.06666666666666667,0.06666666666666667,0.5333333333333333,0.0,0.0,0.0,0.3,0.03333333333333333,0.0,0.0,0.07894736842105263,0.03160493827160494
0.5476190476190477,0.0,0.09523809523809523,0.0,0.023809523809523808,0.0,0.2619047619047619,0.047619047619047616,0.023809523809523808,0.0,0.11290322580645161,0.03121693121693123
0.5588235294117647,0.14705882352941177,0.058823529411764705,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.1297709923664122,0.03252595155709343
0.10344827586206896,0.034482758620689655,0.4827586206896552,0.0,0.034482758620689655,0.0,0.27586206896551724,0.06896551724137931,0.0,0.0,0.06839622641509434,0.025221297397278374
0.35714285714285715,0.14285714285714285,0.21428571428571427,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.05185185185185185,0.01383219954648526
0.5974025974025974,0.012987012987012988,0.06493506493506493,0.012987012987012988,0.18181818181818182,0.0,0.12987012987012986,0.0,0.0,0.0,0.10921985815602837,0.034596428102921614
0.3076923076923077,0.10256410256410256,0.1282051282051282,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.2564102564102564,0.05128205128205128,0.0,0.02564102564102564,0.11504424778761062,0.010731244064577398
0.1111111111111111,0.027777777777777776,0.3333333333333333,0.0,0.3611111111111111,0.0,0.05555555555555555,0.0,0.1111111111111111,0.0,0.08333333333333333,0.018895747599451302
0.08771929824561403,0.2807017543859649,0.15789473684210525,0.0,0.03508771929824561,0.0,0.3684210526315789,0.05263157894736842,0.0,0.017543859649122806,0.09628378378378379,0.016829109811565948
0.0821917808219178,0.3698630136986301,0.1095890410958904,0.0,0.1095890410958904,0.0,0.2465753424657534,0.0684931506849315,0.0136986301369863,0.0,0.11624203821656051,0.014805779696003
0.06666666666666667,0.13333333333333333,0.4,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.06666666666666667,0.05725190839694656,0.016049382716049387
0.07142857142857142,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.6428571428571429,0.0,0.0,0.0,0.03674540682414698,0.03990929705215421
0.0449438202247191,0.30337078651685395,0.12359550561797752,0.011235955056179775,0.16853932584269662,0.011235955056179775,0.19101123595505617,0.056179775280898875,0.06741573033707865,0.02247191011235955,0.14149443561208266,0.009186550519715524
0.02127659574468085,0.0425531914893617,0.1702127659574468,0.0,0.10638297872340426,0.0,0.1276595744680851,0.5106382978723404,0.02127659574468085,0.0,0.1760299625468165,0.024450480358130876
0.0,0.07142857142857142,0.5,0.07142857142857142,0.0,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.056451612903225805,0.027437641723356013
0.07142857142857142,0.2857142857142857,0.09523809523809523,0.0,0.047619047619047616,0.0,0.30952380952380953,0.023809523809523808,0.11904761904761904,0.047619047619047616,0.10687022900763359,0.012320483749055177
0.08333333333333333,0.041666666666666664,0.4166666666666667,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.06030150753768844,0.032484567901234565
0.017857142857142856,0.35714285714285715,0.19642857142857142,0.0,0.08928571428571429,0.0,0.23214285714285715,0.08928571428571429,0.017857142857142856,0.0,0.12200435729847495,0.015178571428571427
0.13333333333333333,0.1,0.23333333333333334,0.2,0.03333333333333333,0.0,0.26666666666666666,0.0,0.03333333333333333,0.0,0.1016949152542373,0.010617283950617284
0.08163265306122448,0.0,0.2857142857142857,0.08163265306122448,0.46938775510204084,0.0,0.061224489795918366,0.02040816326530612,0.0,0.0,0.09979633401221996,0.02438335878569115
0.1111111111111111,0.037037037037037035,0.3333333333333333,0.037037037037037035,0.0,0.0,0.4074074074074074,0.037037037037037035,0.0,0.037037037037037035,0.09642857142857143,0.02165828379820149
0.2916666666666667,0.0,0.20833333333333334,0.0,0.0,0.0,0.125,0.125,0.0,0.25,0.07868852459016394,0.013580246913580249
0.0975609756097561,0.24390243902439024,0.04878048780487805,0.0,0.0,0.0,0.5365853658536586,0.0,0.024390243902439025,0.04878048780487805,0.12349397590361445,0.02914270606120696
0.04918032786885246,0.3442622950819672,0.3114754098360656,0.0,0.0,0.0,0.2459016393442623,0.0,0.01639344262295082,0.03278688524590164,0.10409556313993173,0.019973722714921316
0.3793103448275862,0.10344827586206896,0.10344827586206896,0.0,0.0,0.0,0.3448275862068966,0.06896551724137931,0.0,0.0,0.11462450592885376,0.020993526225393053
0.0,0.6111111111111112,0.16666666666666666,0.0,0.1388888888888889,0.0,0.027777777777777776,0.0,0.05555555555555555,0.0,0.1422924901185771,0.03604252400548698
0.13043478260869565,0.014492753623188406,0.21739130434782608,0.0,0.0,0.0,0.4927536231884058,0.07246376811594203,0.028985507246376812,0.043478260869565216,0.15935334872979215,0.023918877920138158
0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.024,0.042386831275720155
0.6470588235294118,0.0,0.11764705882352941,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.04985337243401759,0.04309880815071127
0.11764705882352941,0.0,0.11764705882352941,0.0,0.0,0.0,0.35294117647058826,0.0,0.0,0.4117647058823529,0.04047619047619048,0.024644367550941945
0.20833333333333334,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.25,0.25,0.0,0.041666666666666664,0.05504587155963303,0.011651234567901235
0.0,0.023255813953488372,0.5348837209302325,0.0,0.2558139534883721,0.0,0.18604651162790697,0.0,0.0,0.0,0.1048780487804878,0.03185505678745268
0.03571428571428571,0.2857142857142857,0.42857142857142855,0.03571428571428571,0.0,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.12280701754385964,0.021485260770975054
0.038461538461538464,0.0,0.5769230769230769,0.0,0.038461538461538464,0.0,0.2692307692307692,0.038461538461538464,0.0,0.038461538461538464,0.0858085808580858,0.034582511505588415
0.3076923076923077,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.0,0.02448210922787194,0.010585141354372123
0.0,0.0,0.53125,0.0,0.0,0.0,0.3125,0.125,0.03125,0.0,0.12549019607843137,0.032942708333333334
0.125,0.2916666666666667,0.25,0.0,0.0,0.0,0.2916666666666667,0.0,0.041666666666666664,0.0,0.0646900269541779,0.016666666666666666
0.0,0.10714285714285714,0.21428571428571427,0.0,0.21428571428571427,0.0,0.25,0.21428571428571427,0.0,0.0,0.0707070707070707,0.012414965986394558
0.02631578947368421,0.05263157894736842,0.2894736842105263,0.0,0.2894736842105263,0.0,0.15789473684210525,0.02631578947368421,0.15789473684210525,0.0,0.11692307692307692,0.013511849799938441
0.06666666666666667,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.0,0.4,0.06666666666666667,0.06666666666666667,0.0,0.07462686567164178,0.014567901234567906
0.03571428571428571,0.07142857142857142,0.14285714285714285,0.0,0.17857142857142858,0.0,0.5357142857142857,0.03571428571428571,0.0,0.0,0.057494866529774126,0.027437641723356013
0.1,0.45,0.05,0.0,0.3,0.0,0.05,0.05,0.0,0.0,0.07407407407407407,0.023333333333333334
0.0,0.0,0.18181818181818182,0.09090909090909091,0.5454545454545454,0.0,0.18181818181818182,0.0,0.0,0.0,0.03942652329749104,0.030211202938475665
0.13043478260869565,0.0,0.6956521739130435,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.0,0.043478260869565216,0.06534090909090909,0.045809703843730315
0.09375,0.125,0.28125,0.03125,0.09375,0.0,0.375,0.0,0.0,0.0,0.082687338501292,0.017100694444444446
0.03125,0.0625,0.15625,0.15625,0.0625,0.0,0.3125,0.1875,0.0,0.03125,0.07692307692307693,0.010156249999999999
0.075,0.15,0.35,0.0,0.025,0.0,0.225,0.15,0.025,0.0,0.12698412698412698,0.013888888888888886
0.013157894736842105,0.013157894736842105,0.3815789473684211,0.013157894736842105,0.2236842105263158,0.0,0.21052631578947367,0.06578947368421052,0.0,0.07894736842105263,0.10256410256410256,0.016782086795937214
0.14285714285714285,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.026415094339622643,0.009297052154195011
0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.0,0.18181818181818182,0.13636363636363635,0.0,0.0,0.08764940239043825,0.00679522497704316
0.5,0.0,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.0,0.0,0.038461538461538464,0.030555555555555565
0.03333333333333333,0.06666666666666667,0.5,0.03333333333333333,0.26666666666666666,0.0,0.1,0.0,0.0,0.0,0.06550218340611354,0.02641975308641976
0.056338028169014086,0.14084507042253522,0.08450704225352113,0.014084507042253521,0.04225352112676056,0.0,0.16901408450704225,0.38028169014084506,0.11267605633802817,0.0,0.22397476340694006,0.013112477682999406
0.07407407407407407,0.25925925925925924,0.37037037037037035,0.0,0.1111111111111111,0.0,0.18518518518518517,0.0,0.0,0.0,0.06601466992665037,0.01739064167047706
