care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,moral,moral_nonmoral_ratio,f_var
0.12,0.04,0.16,0.08,0.0,0.12,0.08,0.0,0.08,0.04,0.28,0.06218905472636816,0.0027733333333333334
0.21428571428571427,0.03571428571428571,0.25,0.42857142857142855,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0,0.0,0.0,0.07329842931937172,0.0213860544217687
0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.022222222222222223,0.019341563786008226
0.3125,0.0,0.3125,0.0625,0.0,0.25,0.0,0.0625,0.0,0.0,0.0,0.05714285714285714,0.018402777777777782
0.2413793103448276,0.0,0.27586206896551724,0.1724137931034483,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.2413793103448276,0.06839622641509434,0.012101994979521734
0.3076923076923077,0.0,0.23076923076923078,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.23076923076923078,0.04797047970479705,0.014201183431952662
0.4897959183673469,0.02040816326530612,0.1836734693877551,0.20408163265306123,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.0,0.04081632653061224,0.06684856753069578,0.02499421537322412
0.15625,0.125,0.21875,0.125,0.0,0.09375,0.0,0.0625,0.0,0.0,0.25,0.09248554913294797,0.006130642361111111
0.08,0.24,0.0,0.36,0.0,0.04,0.0,0.0,0.28,0.0,0.08,0.056433408577878104,0.01928888888888889
0.11363636363636363,0.0,0.25,0.06818181818181818,0.0,0.4772727272727273,0.0,0.0,0.0,0.0,0.09090909090909091,0.07272727272727272,0.025022956841138658
0.14285714285714285,0.14285714285714285,0.16071428571428573,0.16071428571428573,0.0,0.35714285714285715,0.0,0.017857142857142856,0.017857142857142856,0.0,0.0,0.08682170542635659,0.01340702947845805
0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.025925925925925925,0.03197278911564625
0.125,0.0,0.625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.020671834625323,0.038368055555555544
0.0,0.2571428571428571,0.17142857142857143,0.22857142857142856,0.0,0.08571428571428572,0.0,0.08571428571428572,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.05124450951683748,0.009106575963718819
0.20833333333333334,0.125,0.20833333333333334,0.20833333333333334,0.041666666666666664,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.08275862068965517,0.007735339506172841
0.4,0.0,0.4,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.03968253968253968,0.026666666666666675
0.03333333333333333,0.1,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.2,0.0,0.23333333333333334,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.07407407407407407,0.006419753086419754
0.043478260869565216,0.0,0.4782608695652174,0.30434782608695654,0.0,0.08695652173913043,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.05764411027568922,0.026065952530980888
0.175,0.075,0.075,0.075,0.075,0.425,0.0,0.025,0.025,0.0,0.075,0.08421052631578947,0.016083333333333328
0.0,0.0625,0.375,0.125,0.0,0.125,0.0625,0.0,0.0,0.0,0.375,0.05177993527508091,0.013715277777777778
0.11538461538461539,0.34615384615384615,0.11538461538461539,0.3076923076923077,0.0,0.019230769230769232,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,0.10655737704918032,0.016802268244575938
0.2727272727272727,0.0,0.2727272727272727,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.07719298245614035,0.013980716253443524
0.2,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.03134796238244514,0.026666666666666672
0.09090909090909091,0.0,0.45454545454545453,0.12121212121212122,0.030303030303030304,0.21212121212121213,0.0,0.0,0.030303030303030304,0.0,0.09090909090909091,0.09705882352941177,0.02090602999693909
0.1568627450980392,0.0,0.21568627450980393,0.29411764705882354,0.0,0.2549019607843137,0.0,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.0,0.08557046979865772,0.01365286855482934
0.2,0.0,0.3333333333333333,0.2,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.056179775280898875,0.018024691358024692
0.06060606060606061,0.0,0.06060606060606061,0.18181818181818182,0.0,0.6060606060606061,0.0,0.09090909090909091,0.0,0.0,0.0,0.12890625,0.03510866238138966
0.022222222222222223,0.044444444444444446,0.4888888888888889,0.17777777777777778,0.08888888888888889,0.022222222222222223,0.0,0.06666666666666667,0.044444444444444446,0.022222222222222223,0.06666666666666667,0.09846827133479212,0.02142112482853224
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0026109660574412533,0.10000000000000002
0.391304347826087,0.0,0.391304347826087,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.06865671641791045,0.026465028355387523
0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.01627906976744186,0.023582766439909295
0.0,0.0,0.3,0.4,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.022222222222222223,0.021
